Date,Open,High,Low,Close,Adj Close,Volume
6/22/2017,105.38,105.64,105.32,105.49,105.49,229300.00
6/23/2017,105.16,105.28,105.02,105.24,105.24,106400.00
6/26/2017,105.25,105.55,104.97,104.98,104.98,157400.00
6/27/2017,104.98,105.03,104.48,104.54,104.54,218900.00
6/28/2017,104.99,105.35,104.77,105.31,105.31,193300.00
6/29/2017,105.12,105.12,103.84,104.34,104.34,182700.00
6/30/2017,105.03,105.29,104.66,105.02,105.02,169400.00
7/3/2017,105.80,106.34,105.65,106.03,106.03,165700.00
7/5/2017,108.15,108.78,108.10,108.53,108.53,493200.00
7/6/2017,108.07,108.10,107.29,107.45,107.45,276700.00
7/7/2017,108.15,108.61,108.05,108.47,108.47,244200.00
7/10/2017,108.21,108.48,108.14,108.22,108.22,120700.00
7/11/2017,108.10,108.46,107.57,108.21,108.21,482500.00
7/12/2017,109.62,109.88,109.26,109.87,109.87,313700.00
7/13/2017,109.50,109.90,109.45,109.84,109.84,199700.00
7/14/2017,110.05,110.68,110.05,110.20,110.20,293500.00
7/17/2017,110.01,110.44,110.01,110.33,110.33,234200.00
7/18/2017,110.20,110.20,109.66,110.00,110.00,183300.00
7/19/2017,109.59,109.85,109.56,109.70,109.70,148400.00
7/20/2017,109.93,110.06,109.51,109.84,109.84,151900.00
7/21/2017,109.47,109.50,109.05,109.31,109.31,177000.00
7/24/2017,109.30,109.45,109.10,109.41,109.41,127000.00
7/25/2017,109.84,110.55,109.75,110.13,110.13,198900.00
7/26/2017,110.36,110.89,110.33,110.77,110.77,157100.00
7/27/2017,111.27,111.98,111.22,111.67,111.67,224600.00
7/28/2017,111.83,112.26,111.81,112.26,112.26,187300.00
7/31/2017,113.00,113.00,112.46,112.84,112.84,141000.00
8/1/2017,114.12,114.38,113.59,114.17,114.17,371600.00
8/2/2017,113.78,114.19,113.49,114.19,114.19,178400.00
8/3/2017,112.75,112.88,112.28,112.73,112.73,253000.00
8/4/2017,113.76,113.80,112.99,113.64,113.64,150400.00
8/7/2017,113.98,114.16,113.92,114.13,114.13,140900.00
8/8/2017,114.26,114.49,114.03,114.22,114.22,143000.00
8/9/2017,113.11,113.29,112.85,113.10,113.10,112000.00
8/10/2017,113.60,113.78,112.21,112.38,112.38,280800.00
8/11/2017,112.46,112.67,111.89,112.12,112.12,355300.00
8/14/2017,112.86,113.38,112.77,113.03,113.03,211100.00
8/15/2017,113.40,113.65,113.28,113.28,113.28,184500.00
8/16/2017,112.36,112.60,112.19,112.39,112.39,162500.00
8/17/2017,112.24,112.24,111.29,111.45,111.45,126000.00
8/18/2017,112.00,112.17,111.52,111.73,111.73,120100.00
8/21/2017,112.40,112.89,112.36,112.72,112.72,167500.00
8/22/2017,112.64,113.00,112.56,112.87,112.87,188000.00
8/23/2017,112.93,113.08,112.68,112.85,112.85,142900.00
8/24/2017,112.23,112.68,112.10,112.22,112.22,153200.00
8/25/2017,112.55,112.99,112.43,112.84,112.84,154400.00
8/28/2017,112.48,112.48,112.05,112.27,112.27,71200.00
8/29/2017,111.53,112.10,111.48,112.08,112.08,116900.00
8/30/2017,112.10,112.31,111.50,112.29,112.29,172800.00
8/31/2017,112.26,113.09,112.22,112.98,112.98,291300.00
9/1/2017,112.74,113.86,112.63,113.03,113.03,288200.00
9/5/2017,113.36,114.00,113.19,113.62,113.62,228800.00
9/6/2017,113.96,114.03,113.47,113.73,113.73,182700.00
9/7/2017,114.52,114.75,113.97,114.28,114.28,264600.00
9/8/2017,115.00,115.17,114.69,114.97,114.97,220900.00
9/11/2017,115.94,116.43,115.81,116.23,116.23,185500.00
9/12/2017,116.37,116.77,116.32,116.54,116.54,179700.00
9/13/2017,116.35,116.70,116.25,116.61,116.61,112000.00
9/14/2017,116.51,117.36,116.47,117.10,117.10,222200.00
9/15/2017,117.12,117.79,117.12,117.69,117.69,169500.00
9/18/2017,117.82,117.92,117.38,117.59,117.59,112900.00
9/19/2017,119.81,120.23,119.80,120.06,120.06,275600.00
9/20/2017,120.00,120.40,119.83,120.37,120.37,193700.00
9/21/2017,120.26,120.26,119.80,120.05,120.05,110600.00
9/22/2017,120.26,120.74,120.26,120.63,120.63,146100.00
9/25/2017,120.81,121.22,120.57,120.97,120.97,141100.00
9/26/2017,121.64,121.80,121.12,121.33,121.33,179700.00
9/27/2017,121.64,121.80,120.67,121.49,121.49,200300.00
9/28/2017,119.78,120.00,119.44,119.60,119.60,174400.00
9/29/2017,119.37,119.62,119.15,119.17,119.17,122200.00
10/2/2017,118.83,119.45,118.82,119.31,119.31,115400.00
10/3/2017,119.52,120.36,119.51,120.34,120.34,159900.00
10/4/2017,120.82,121.31,120.23,120.97,120.97,153800.00
10/5/2017,120.73,120.90,120.50,120.84,120.84,108000.00
10/6/2017,121.59,121.89,121.30,121.87,121.87,126600.00
10/9/2017,121.77,122.12,121.60,121.67,121.67,151300.00
10/10/2017,123.86,124.18,123.82,124.08,124.08,472400.00
10/11/2017,123.50,123.84,123.29,123.56,123.56,193800.00
10/12/2017,123.48,123.68,123.07,123.19,123.19,151000.00
10/13/2017,123.42,123.56,123.03,123.38,123.38,333800.00
10/16/2017,123.30,123.50,123.01,123.42,123.42,101300.00
10/17/2017,123.32,123.67,123.18,123.31,123.31,107300.00
10/18/2017,123.90,124.32,123.84,124.26,124.26,127500.00
10/19/2017,123.16,123.32,122.77,123.07,123.07,121000.00
10/20/2017,123.41,123.72,123.36,123.71,123.71,111500.00
10/23/2017,123.18,123.29,122.61,122.77,122.77,154400.00
10/24/2017,123.89,124.01,123.60,123.88,123.88,133300.00
10/25/2017,123.24,123.24,122.02,122.34,122.34,176500.00
10/26/2017,123.58,124.09,123.54,123.85,123.85,123100.00
10/27/2017,123.88,124.24,123.67,124.23,124.23,101800.00
10/30/2017,124.25,124.44,124.07,124.39,124.39,113500.00
10/31/2017,123.98,124.14,123.67,124.00,124.00,110400.00
11/1/2017,124.29,124.92,124.18,124.43,124.43,194200.00
11/2/2017,125.05,125.49,124.94,125.31,125.31,153100.00
11/3/2017,125.51,125.63,125.02,125.62,125.62,115300.00
11/6/2017,125.51,125.75,125.34,125.63,125.63,103400.00
11/7/2017,126.75,127.50,125.59,127.46,127.46,335100.00
11/8/2017,127.12,128.11,127.05,127.98,127.98,179300.00
11/9/2017,125.42,125.70,124.63,125.46,125.46,303900.00
11/10/2017,124.80,124.90,124.41,124.49,124.49,123200.00
11/13/2017,124.85,125.76,124.80,125.67,125.67,156400.00
11/14/2017,125.35,125.44,124.72,124.87,124.87,164400.00
11/15/2017,122.95,123.81,122.49,123.66,123.66,106500.00
11/16/2017,123.98,124.68,123.84,124.37,124.37,140300.00
11/17/2017,123.32,123.65,123.08,123.29,123.29,212600.00
11/20/2017,123.85,124.54,123.85,124.29,124.29,108000.00
11/21/2017,125.20,125.92,125.06,125.78,125.78,163500.00
11/22/2017,126.30,126.62,125.80,126.08,126.08,115200.00
11/24/2017,126.29,126.40,125.86,126.05,126.05,57700.00
11/27/2017,126.21,126.40,125.87,125.98,125.98,104800.00
11/28/2017,126.51,126.96,126.32,126.96,126.96,101000.00
