Date,Price,Open,High,Low,Vol.,Change
10/2/2018,13590,13636,13774,13544,299300,-0.0034
10/3/2018,13452,13636,13636,13360,306350,-0.0102
10/4/2018,13544,13360,13590,13360,323860,0.0068
10/5/2018,13360,13544,13544,13314,480300,-0.0136
10/8/2018,13268,13498,13590,13176,198690,-0.0069
10/9/2018,13268,13176,13360,13176,197020,0
10/10/2018,13360,13222,13774,13130,275630,0.0069
10/11/2018,12485,13176,13176,11747,733830,-0.0655
10/12/2018,12715,12300,12853,11978,374420,0.0184
10/15/2018,12577,12577,12807,12531,200050,-0.0109
10/16/2018,12669,12623,12853,12623,91490,0.0073
10/17/2018,12715,12715,12899,12623,241490,0.0036
10/18/2018,12715,12715,12761,12577,80290,0
10/19/2018,12807,12669,12807,12439,274450,0.0072
10/22/2018,12715,12761,12899,12715,342130,-0.0072
10/23/2018,12623,12715,12715,12392,235400,-0.0072
10/24/2018,12254,12531,12669,12254,203950,-0.0292
10/25/2018,12162,12208,12208,11747,394630,-0.0075
10/26/2018,11978,12162,12208,11932,312270,-0.0151
10/29/2018,11978,11978,12208,11978,147030,0
10/30/2018,12254,11978,12346,11978,78000,0.023
10/31/2018,12439,12208,12623,12208,77960,0.0151
11/1/2018,12208,12439,12485,12208,58660,-0.0186
11/2/2018,12346,12346,12439,12162,69220,0.0113
11/5/2018,11978,12346,12346,11978,264960,-0.0298
11/6/2018,12070,12254,12254,12024,146590,0.0077
11/7/2018,12445,12304,12492,12304,142950,0.0311
11/8/2018,12961,12633,13055,12633,597720,0.0415
11/9/2018,12633,13055,13149,12633,385120,-0.0253
11/12/2018,12867,12680,12914,12492,228670,0.0185
11/13/2018,12586,12820,12867,12586,287580,-0.0218
11/14/2018,12726,12680,12773,12633,365640,0.0111
11/15/2018,12633,12680,12773,12586,679020,-0.0073
11/16/2018,13056,12725,13587,12725,318740,0.0335
11/19/2018,13189,13255,13255,13123,177610,0.0102
11/20/2018,12990,13189,13255,12924,127270,-0.0151
11/21/2018,12791,12924,12924,12592,81580,-0.0153
11/22/2018,12791,12791,12924,12791,155280,0
11/23/2018,12659,12791,12791,12592,120930,-0.0103
11/26/2018,12592,12725,12725,12460,38730,-0.0053
11/27/2018,12592,12659,12659,12460,91270,0
11/28/2018,12394,12592,12592,12394,99650,-0.0157
11/29/2018,12592,12526,12858,12460,456400,0.016
11/30/2018,12394,12659,12659,12394,206350,-0.0157
12/3/2018,12858,12592,12990,12592,452420,0.0374
12/4/2018,13056,12858,13123,12858,450510,0.0154
12/5/2018,13056,12858,13056,12791,306230,0
12/6/2018,12924,12924,13056,12858,324660,-0.0101
12/7/2018,13056,12924,13056,12924,195250,0.0102
12/10/2018,12858,12990,13056,12725,161330,-0.0152
12/11/2018,12924,12858,12990,12791,141270,0.0051
12/12/2018,12924,12924,12990,12858,263530,0
12/13/2018,13056,12924,13056,12858,325250,0.0102
12/14/2018,12725,12990,12990,12725,198540,-0.0254
12/17/2018,12394,12791,12791,12261,313900,-0.026
12/18/2018,12129,12261,12261,11863,572330,-0.0214
12/19/2018,12129,12129,12129,11930,106090,0
12/20/2018,12394,11996,12394,11996,88610,0.0218
12/21/2018,12261,12394,12394,12062,226750,-0.0107
12/24/2018,12129,12195,12261,12129,117330,-0.0108
12/25/2018,11930,12062,12129,11731,355790,-0.0164
12/26/2018,11797,11930,11930,11797,195780,-0.0111
12/27/2018,11863,11996,12062,11863,207740,0.0056
12/28/2018,11665,11930,11930,11598,233510,-0.0167
1/2/2019,11797,11930,11930,11731,154780,0.0113
1/3/2019,11598,11797,11863,11532,137370,-0.0169
1/4/2019,11665,11598,11665,11598,131640,0.0058
1/7/2019,11731,11665,11797,11665,150500,0.0057
1/8/2019,11797,11731,11863,11665,108510,0.0056
1/9/2019,11797,11797,11797,11598,262010,0
1/10/2019,11731,11797,11797,11731,54440,-0.0056
1/11/2019,11665,11797,11797,11665,131140,-0.0056
1/14/2019,11731,11665,11731,11598,272270,0.0057
1/15/2019,11665,11665,11731,11665,200090,-0.0056
1/16/2019,11665,11731,11731,11665,148280,0
1/17/2019,12062,11731,12261,11731,390010,0.034
1/18/2019,11863,11996,12129,11731,258330,-0.0165
1/21/2019,11996,11665,12062,11665,271210,0.0112
1/22/2019,11930,11930,12062,11863,151880,-0.0055
1/23/2019,11863,11797,11930,11797,251360,-0.0056
1/24/2019,11863,11863,11930,11863,165480,0
1/25/2019,11797,11731,11930,11731,407700,-0.0056
1/28/2019,11665,11797,11863,11665,255330,-0.0112
1/29/2019,11598,11665,11731,11532,338790,-0.0057
1/30/2019,11466,11598,11598,11400,345040,-0.0114
1/31/2019,11466,11532,11598,11400,336580,0
2/1/2019,11665,11598,11731,11466,211190,0.0174
2/11/2019,11930,11665,12062,11665,441000,0.0227
2/12/2019,11863,11996,12062,11797,450110,-0.0056
2/13/2019,11863,11930,11930,11731,740200,0
2/14/2019,11665,11797,11797,11598,564650,-0.0167
2/15/2019,11797,11731,11863,11665,220500,0.0113
2/18/2019,12062,11797,12129,11797,989830,0.0225
2/19/2019,12327,11996,12460,11996,1550000,0.022
2/20/2019,12725,12327,12791,12261,1090000,0.0323
2/21/2019,12791,12725,12858,12659,1130000,0.0052
2/22/2019,12526,12791,12791,12460,676950,-0.0207
2/25/2019,12592,12592,12725,12526,405860,0.0053
2/26/2019,12526,12659,12659,12394,570580,-0.0052
2/27/2019,12460,12526,12526,12394,470120,-0.0053
2/28/2019,12261,12526,12526,12129,649800,-0.016
3/1/2019,12327,12261,12394,12195,228710,0.0054
3/4/2019,12592,12261,12725,12261,511680,0.0215
3/5/2019,12526,12526,12592,12460,370800,-0.0052
3/6/2019,12725,12460,12924,12261,836770,0.0159
3/7/2019,12725,12592,12924,12592,405670,0
3/8/2019,12592,12725,12791,12526,267730,-0.0105
3/11/2019,12659,12592,12725,12460,400060,0.0053
3/12/2019,12858,12592,12924,12592,610720,0.0157
3/13/2019,13123,12924,13388,12858,1360000,0.0206
3/14/2019,13056,13189,13189,13056,280540,-0.0051
3/15/2019,13056,13123,13123,12990,385690,0
3/18/2019,13123,13056,13189,12990,543170,0.0051
3/19/2019,12924,13056,13189,12592,564330,-0.0152
3/20/2019,12791,12924,12924,12592,838370,-0.0103
3/21/2019,12526,12791,12858,12526,429400,-0.0207
3/22/2019,12725,12592,12725,12526,369390,0.0159
3/25/2019,12327,12526,12592,12261,465940,-0.0313
3/26/2019,12261,12394,12460,12261,354920,-0.0054
3/27/2019,12394,12394,12460,12327,206730,0.0108
3/28/2019,12592,12592,12659,12394,686120,0.016
3/29/2019,12592,12725,12858,12592,749840,0
4/1/2019,12725,12725,12791,12659,661620,0.0106
4/2/2019,12725,12725,12858,12659,647730,0
4/3/2019,12725,12725,12791,12659,387890,0
4/4/2019,12858,12725,12924,12725,668320,0.0105
4/5/2019,12858,12924,12924,12791,308670,0
4/8/2019,12924,12858,12924,12791,641220,0.0051
4/9/2019,12858,12924,12990,12858,747100,-0.0051
4/10/2019,12791,12858,12858,12659,330620,-0.0052
4/11/2019,12791,12858,12858,12725,173830,0
4/12/2019,12725,12659,12791,12592,145580,-0.0052
4/16/2019,12725,12924,12924,12592,105980,0
4/17/2019,12725,12725,12791,12659,346630,0
4/18/2019,12592,12725,12791,12592,238920,-0.0105
4/19/2019,12592,12725,12725,12592,124170,0
4/22/2019,12592,12592,12659,12460,244530,0
4/23/2019,12460,12526,12526,12327,302870,-0.0105
4/24/2019,12526,12460,12592,12460,137940,0.0053
4/25/2019,12592,12592,12592,12526,117110,0.0053
4/26/2019,12592,12592,12725,12526,121220,0
5/2/2019,12394,12592,12592,12394,320690,-0.0157
5/3/2019,12261,12460,12460,12261,309680,-0.0107
5/6/2019,12195,12327,12327,12129,221390,-0.0054
5/7/2019,12195,12195,12195,12129,75430,0
5/8/2019,12062,12129,12129,11863,329580,-0.0109
5/9/2019,11996,12062,12129,11930,146020,-0.0055
5/10/2019,12129,12062,12129,11996,267990,0.0111
5/13/2019,12195,12195,12261,12129,265940,0.0054
5/14/2019,8758,8711,8758,8663,311570,-0.2818
5/15/2019,8805,8758,8853,8711,319140,0.0054
5/16/2019,8805,8805,8900,8805,283850,0
5/17/2019,8805,8805,8805,8711,959260,0
5/20/2019,8711,8805,8805,8711,818670,-0.0108
5/21/2019,8758,8711,8805,8663,1020000,0.0054
5/22/2019,8758,8758,8758,8711,459040,0
5/23/2019,8711,8758,8758,8711,210190,-0.0054
5/24/2019,8663,8711,8711,8616,469640,-0.0054
5/27/2019,8616,8663,8663,8521,591980,-0.0055
5/28/2019,8569,8569,8569,8521,262480,-0.0055
5/29/2019,8521,8616,8616,8521,386180,-0.0055
5/30/2019,8521,8521,8569,8474,430390,0
5/31/2019,8521,8521,8616,8474,829370,0
6/3/2019,8474,8474,8521,8379,532780,-0.0056
6/4/2019,8474,8474,8474,8379,171060,0
6/5/2019,8507,8507,8751,8409,284970,0.0039
6/6/2019,8311,8507,8507,8311,381890,-0.023
6/7/2019,8360,8311,8360,8311,123220,0.0059
6/10/2019,8213,8311,8360,8213,275180,-0.0175
6/11/2019,8116,8213,8262,8067,815690,-0.0119
6/12/2019,8018,8116,8116,7969,365690,-0.012
6/13/2019,8018,8067,8067,7969,177970,0
6/14/2019,8164,8018,8164,7969,234570,0.0183
6/17/2019,8164,8116,8213,8067,365640,0
6/18/2019,8067,8164,8164,8018,334240,-0.012
6/19/2019,8067,8018,8067,7969,242550,0
6/20/2019,8164,7969,8213,7969,244490,0.0121
6/21/2019,8164,8164,8213,8116,211990,0
6/24/2019,8116,8164,8164,8067,361380,-0.006
6/25/2019,8067,8067,8116,8018,225960,-0.006
6/26/2019,8067,7969,8164,7284,255900,0
6/27/2019,7969,8067,8164,7969,708510,-0.0121
6/28/2019,8018,7969,8018,7920,177980,0.0061
7/1/2019,8067,7969,8116,7969,139020,0.0061
7/2/2019,8067,8018,8116,8018,240710,0
7/3/2019,8311,8018,8311,8018,552980,0.0303
7/4/2019,8458,8311,8604,8262,722520,0.0177
7/5/2019,8626,8676,8777,8576,238190,0.0199
7/8/2019,8626,8576,8676,8576,247150,0
7/9/2019,8525,8626,8626,8475,655720,-0.0117
7/10/2019,8525,8525,8576,8475,282950,0
7/11/2019,8576,8525,8576,8475,244030,0.0059
7/12/2019,8929,8576,8979,8576,1850000,0.0412
7/15/2019,9231,8828,9332,8828,2660000,0.0339
7/16/2019,9332,9231,9484,9231,1390000,0.0109
7/17/2019,9231,9282,9383,9181,1370000,-0.0108
7/18/2019,9484,9181,9534,9181,1620000,0.0273
7/19/2019,9484,9383,9534,9383,799090,0
7/22/2019,9383,9484,9534,9231,824790,-0.0106
7/23/2019,9383,9383,9433,9332,778940,0
7/24/2019,9484,9383,9484,9282,1030000,0.0108
7/25/2019,9635,9433,9736,9433,1600000,0.016
7/26/2019,9635,9635,9685,9584,489970,0
7/29/2019,9584,9635,9736,9433,1200000,-0.0052
7/30/2019,9383,9534,9584,9383,1430000,-0.021
7/31/2019,9433,9433,9433,9332,564440,0.0054
8/1/2019,9584,9433,9635,9383,1000000,0.016
8/2/2019,9484,9484,9584,9433,1220000,-0.0105
8/5/2019,9685,9484,9736,9484,1910000,0.0213
8/6/2019,9635,9584,9635,9433,920440,-0.0052
8/7/2019,9988,9635,10240,9584,4220000,0.0366
8/8/2019,10089,9938,10139,9938,1690000,0.0101
8/9/2019,10089,10038,10190,10038,2130000,0
8/12/2019,10038,10038,10089,9938,2000000,-0.005
8/13/2019,9887,10038,10089,9837,1620000,-0.0151
8/14/2019,10060,10060,10536,10000,1030000,0.0174
8/15/2019,10595,10060,10655,9941,1870000,0.0533
8/16/2019,10952,10595,11071,10536,3370000,0.0337
8/19/2019,10833,11012,11191,10774,1680000,-0.0109
8/20/2019,10833,10893,10952,10774,1360000,0
8/21/2019,10833,10833,11012,10714,1430000,0
8/22/2019,10655,10952,10952,10655,2040000,-0.0165
8/23/2019,10655,10595,10714,10595,1130000,0
8/26/2019,10476,10655,10655,10476,977240,-0.0168
8/27/2019,10655,10536,10893,10476,1170000,0.017
8/28/2019,10476,10655,10714,10357,989840,-0.0168
8/29/2019,10417,10476,10536,10357,502420,-0.0057
8/30/2019,10417,10417,10655,10357,476630,0
9/3/2019,10536,10417,10774,10357,3180000,0.0114
9/4/2019,10476,10595,10595,10476,790900,-0.0056
9/5/2019,10536,10536,10595,10476,337070,0.0057
9/6/2019,10536,10536,10595,10417,661690,0
9/9/2019,10298,10476,10536,10298,602070,-0.0226
9/10/2019,10000,10417,10417,9941,1900000,-0.0289
9/11/2019,10060,10119,10179,10000,543590,0.006
9/12/2019,10298,10119,10357,10119,463460,0.0237
9/13/2019,10476,10179,10595,10119,711270,0.0173
9/16/2019,10417,10536,10595,10357,1070000,-0.0057
9/17/2019,10298,10417,10417,10298,706470,-0.0114
9/18/2019,10179,10417,10417,10179,878980,-0.0116
9/19/2019,10298,10238,10357,10179,477960,0.0117
9/20/2019,10298,10298,10417,10238,569830,0
9/23/2019,10238,10298,10357,10238,710920,-0.0058
9/24/2019,10357,10238,10357,10238,436320,0.0116
9/25/2019,10298,10298,10357,10238,916710,-0.0057
9/26/2019,10833,10298,10893,10298,5910000,0.052
9/27/2019,10655,10774,10893,10655,2530000,-0.0165
9/30/2019,10714,10774,10833,10655,1520000,0.0056
10/1/2019,10774,10833,10833,10595,1600000,0.0056
10/2/2019,11012,10714,11131,10655,6840000,0.0221
10/3/2019,11071,10952,11131,10833,1920000,0.0054
10/4/2019,10952,11071,11131,10952,1650000,-0.0107
10/7/2019,10655,11012,11071,10536,2550000,-0.0272
10/8/2019,10714,10893,10893,10595,1390000,0.0056
10/9/2019,10774,10714,10893,10714,733720,0.0056
10/10/2019,10774,10833,10893,10714,636640,0
10/11/2019,10833,10774,10893,10714,342270,0.0055
10/14/2019,11071,10833,11191,10833,3870000,0.022
10/15/2019,11191,11071,11191,11012,2210000,0.0108
10/16/2019,10952,11250,11310,10893,3190000,-0.0213
10/17/2019,10833,10893,10952,10714,1690000,-0.0109
10/18/2019,10655,10714,10833,10655,1590000,-0.0165
10/21/2019,10476,10655,10714,10417,3170000,-0.0168
10/22/2019,10536,10476,10536,10417,962140,0.0057
10/23/2019,10655,10536,10655,10536,834490,0.0113
10/24/2019,10714,10655,10714,10536,702480,0.0056
10/25/2019,10655,10595,10774,10595,843270,-0.0056
10/28/2019,10655,10714,10833,10595,1330000,0
10/29/2019,10595,10655,10655,10476,954640,-0.0056
10/30/2019,10595,10595,10595,10536,1340000,0
10/31/2019,10417,10595,10595,10417,1780000,-0.0168
11/1/2019,10595,10417,10595,10417,721840,0.0171
11/4/2019,10655,10595,10714,10476,858920,0.0056
11/5/2019,10595,10655,10655,10536,668160,-0.0056
11/6/2019,10595,10595,10774,10595,1400000,0
11/7/2019,10774,10655,10833,10655,2620000,0.0169
11/8/2019,10714,10714,10893,10655,1080000,-0.0055
11/11/2019,10595,10714,10774,10595,666090,-0.0111
11/12/2019,10655,10595,10655,10595,862830,0.0056
