Date,Close,Open,High,Low,Vol.,Change %
26-04-19,52142,52066,52449,51835,353780,0.29%
02-05-19,51374,51912,52142,50990,801880,-1.47%
03-05-19,51221,51298,51605,50760,1010000,-0.30%
06-05-19,50914,50837,51298,50606,465180,-0.60%
07-05-19,50376,50914,51451,49762,1410000,-1.06%
08-05-19,49992,49608,50376,49608,1210000,-0.76%
09-05-19,50299,50222,50683,49992,841110,0.61%
10-05-19,50376,50299,50760,50069,707380,0.15%
13-05-19,50606,50530,50760,50376,606640,0.46%
14-05-19,51144,50222,51144,50222,801940,1.06%
15-05-19,51298,51221,51758,51067,936880,0.30%
16-05-19,51298,51298,51758,51298,525980,0.00%
17-05-19,51298,51298,51451,51144,572980,0.00%
20-05-19,52066,51298,52296,51221,774610,1.50%
21-05-19,51989,52142,52526,51989,603760,-0.15%
22-05-19,51605,51835,52680,51451,845610,-0.74%
23-05-19,51912,51758,52219,51528,482890,0.59%
24-05-19,51067,51682,52219,50760,1190000,-1.63%
27-05-19,51758,51451,52066,51067,435520,1.35%
28-05-19,51758,51451,52680,51298,847770,0.00%
29-05-19,51835,51912,52296,51605,400040,0.15%
30-05-19,51989,51835,52296,51682,409470,0.30%
31-05-19,51605,51835,52219,51298,908630,-0.74%
03-06-19,51067,51067,51605,49147,757510,-1.04%
04-06-19,51605,50683,51835,50606,494810,1.05%
05-06-19,51221,51605,51835,51221,343400,-0.74%
06-06-19,50606,51221,51221,49915,503450,-1.20%
07-06-19,50376,51067,51451,50069,626360,-0.45%
10-06-19,51221,51298,51835,50683,747050,1.68%
11-06-19,51758,51067,51835,51067,357410,1.05%
12-06-19,51451,51758,51835,51374,271670,-0.59%
13-06-19,51682,51451,51835,50990,697920,0.45%
14-06-19,53141,51835,53448,51682,3160000,2.82%
17-06-19,53141,53141,53985,52987,1300000,0.00%
18-06-19,53985,52987,54139,52373,1220000,1.59%
19-06-19,53601,54062,54293,53294,979090,-0.71%
20-06-19,54907,53525,54907,53448,1190000,2.44%
21-06-19,54523,54907,55291,54523,2280000,-0.70%
24-06-19,56059,54907,56673,54523,1800000,2.82%
25-06-19,55598,55905,55905,55291,498710,-0.82%
26-06-19,54139,55598,55675,54139,1170000,-2.62%
27-06-19,53371,54523,54523,53294,1510000,-1.42%
28-06-19,54139,53448,55291,52526,1060000,1.44%
01-07-19,54753,54523,55214,54446,721760,1.13%
02-07-19,54139,54907,54907,53985,463210,-1.12%
03-07-19,53448,54139,54523,53448,1020000,-1.28%
04-07-19,55675,53755,55675,53525,1440000,4.17%
05-07-19,55752,55675,55752,55291,543090,0.14%
08-07-19,54753,55291,55521,54523,922930,-1.79%
09-07-19,55214,54907,55214,54216,853070,0.84%
10-07-19,55675,55675,55828,55214,815570,0.83%
11-07-19,56827,55752,57287,55752,1640000,2.07%
12-07-19,56596,56827,57211,56519,1180000,-0.41%
15-07-19,57595,56596,57595,56596,1390000,1.77%
16-07-19,59284,57979,59898,57902,2430000,2.93%
17-07-19,58516,58746,59207,58209,1020000,-1.30%
18-07-19,58670,58286,59284,58055,1100000,0.26%
19-07-19,60666,58670,61281,58670,1680000,3.40%
22-07-19,60666,60666,61050,60436,1190000,0.00%
23-07-19,60590,60590,60897,60282,798850,-0.13%
24-07-19,59054,61050,61050,58746,1760000,-2.54%
25-07-19,59668,59054,59745,58900,583590,1.04%
26-07-19,60282,59668,61204,59514,1200000,1.03%
29-07-19,62202,60282,62202,60129,1260000,3.19%
30-07-19,61895,62970,63354,61895,1450000,-0.49%
31-07-19,61588,61434,61818,61127,654360,-0.50%
01-08-19,61818,61588,61818,61204,687570,0.37%
02-08-19,60743,61204,61818,60743,867680,-1.74%
05-08-19,59438,60820,61204,59207,1090000,-2.15%
06-08-19,58593,58670,59054,58209,1500000,-1.42%
07-08-19,60206,58593,60206,58593,724550,2.75%
08-08-19,60282,60282,61281,59975,781590,0.13%
09-08-19,60282,60436,60973,60206,814890,0.00%
12-08-19,59668,60282,60513,59284,606100,-1.02%
13-08-19,58593,59284,59514,58286,1030000,-1.80%
14-08-19,58593,59898,59898,58593,452660,0.00%
15-08-19,60666,57287,60666,57287,651180,3.54%
16-08-19,59822,59745,60359,59745,703310,-1.39%
19-08-19,58977,59822,60282,58900,883940,-1.41%
20-08-19,59054,59745,59745,58900,579000,0.13%
21-08-19,61434,59054,61665,58900,2460000,4.03%
22-08-19,61434,61588,61741,61127,972430,0.00%
23-08-19,60820,61434,61588,60820,576110,-1.00%
26-08-19,59745,60052,60359,59514,857750,-1.77%
27-08-19,58746,60052,60513,58363,1420000,-1.67%
28-08-19,59130,58977,59361,58977,751320,0.65%
29-08-19,58977,59054,59438,58746,538780,-0.26%
30-08-19,59668,59130,59668,59130,357450,1.17%
03-09-19,59745,59745,59822,58900,741140,0.13%
04-09-19,59361,59514,59514,59054,673430,-0.64%
05-09-19,59591,59284,60513,59284,521760,0.39%
06-09-19,59361,59898,59898,59130,367480,-0.39%
09-09-19,59284,59361,59438,59130,301700,-0.13%
10-09-19,59668,59284,60820,59207,831890,0.65%
11-09-19,60052,59361,60282,59361,180490,0.64%
12-09-19,61050,60282,61050,60282,1020000,1.66%
13-09-19,62893,61281,62970,61281,1800000,3.02%
16-09-19,62202,62893,63508,62049,889770,-1.10%
17-09-19,62279,61972,62433,61818,1140000,0.12%
18-09-19,61895,62279,63354,61818,1030000,-0.62%
19-09-19,62586,62202,62740,61818,672750,1.12%
20-09-19,62202,62586,63584,62202,3570000,-0.61%
23-09-19,60666,62663,62893,60666,1510000,-2.47%
24-09-19,61895,61050,62049,60590,1010000,2.03%
25-09-19,61972,61434,62125,60973,930640,0.12%
26-09-19,62202,61972,62433,61665,1330000,0.37%
27-09-19,63661,62433,63815,62049,1770000,2.35%
30-09-19,63047,63661,63968,62893,989880,-0.96%
01-10-19,64045,63047,64199,62817,1010000,1.58%
02-10-19,62970,64045,64276,62740,1560000,-1.68%
03-10-19,62970,62817,62970,61895,1280000,0.00%
04-10-19,63738,62970,64122,62817,1430000,1.22%
07-10-19,63584,64506,64890,63584,1450000,-0.24%
08-10-19,65351,63584,65504,63584,1870000,2.78%
09-10-19,64890,65351,65811,64890,1100000,-0.71%
10-10-19,64967,65197,65427,64890,961680,0.12%
11-10-19,65504,64890,65581,64813,931950,0.83%
14-10-19,65274,65658,66042,65274,792140,-0.35%
15-10-19,65427,65274,65581,65043,827360,0.23%
16-10-19,66119,66195,66272,65811,853310,1.06%
17-10-19,65427,66349,66349,65120,1310000,-1.05%
18-10-19,65274,65658,65888,65120,532400,-0.23%
21-10-19,64660,65197,65197,64199,716440,-0.94%
22-10-19,65581,64660,65888,64660,603660,1.42%
23-10-19,65504,65658,65888,64967,686640,-0.12%
24-10-19,66733,65504,66810,65351,842390,1.88%
25-10-19,67578,66733,67962,66503,1070000,1.27%
28-10-19,67117,67578,67731,67117,489790,-0.68%
29-10-19,66349,67117,67194,66272,896540,-1.14%
30-10-19,67424,66119,67731,66119,775440,1.62%
31-10-19,67347,67654,67962,67270,407480,-0.11%
01-11-19,68192,67347,68653,67194,1370000,1.25%
04-11-19,70649,68576,71033,68576,1390000,3.60%
05-11-19,69728,70726,71033,69651,786820,-1.30%
06-11-19,69881,69728,70880,69651,859040,0.22%
07-11-19,70112,69881,70573,69881,460440,0.33%
08-11-19,70265,70112,70573,69728,531470,0.22%
11-11-19,70112,70496,70496,69881,540760,-0.22%
12-11-19,70419,70189,70726,70112,760270,0.44%
13-11-19,69497,70803,70803,69114,901560,-1.31%
14-11-19,69805,69497,70189,69267,478910,0.44%
15-11-19,68883,69114,69881,68653,721280,-1.32%
18-11-19,67270,68730,69037,67194,893900,-2.34%
19-11-19,69881,67578,69881,67578,671890,3.88%
20-11-19,68730,69881,69881,68730,658770,-1.65%
21-11-19,67194,68422,68883,67194,1280000,-2.23%
22-11-19,65658,67270,67962,65427,1720000,-2.29%
25-11-19,64890,65658,66042,63431,1840000,-1.17%
26-11-19,65043,64890,65888,64890,927820,0.24%
27-11-19,66272,65658,66810,65504,618040,1.89%
28-11-19,65504,66042,66272,65197,631170,-1.16%
29-11-19,65504,65735,65888,65274,405770,0.00%
02-12-19,64122,65504,65811,63738,559910,-2.11%
03-12-19,62970,63738,64583,62970,810730,-1.80%
04-12-19,65043,62893,65120,62586,480710,3.29%
05-12-19,65120,65274,65811,64967,482950,0.12%
06-12-19,65197,65120,65427,64813,327170,0.12%
09-12-19,65427,65197,65811,64813,511340,0.35%
10-12-19,65581,65504,65965,65274,653680,0.24%
11-12-19,65965,66042,66042,65427,529640,0.59%
12-12-19,67194,66119,67578,66042,593020,1.86%
13-12-19,67885,67654,67962,67194,952920,1.03%
16-12-19,66042,67885,67885,65274,849240,-2.71%
17-12-19,65504,66349,66810,65504,339740,-0.81%
18-12-19,66579,65581,66579,65504,1080000,1.64%
