Date,Close,Open,High,Low,Vol.,Change %
05-04-19,106663,107993,107993,106663,1220000,-1.23
08-04-19,107367,107524,107759,106820,655430,0.66
09-04-19,105959,107915,107915,105646,1380000,-1.31
10-04-19,105881,105646,106820,105646,1050000,-0.07
11-04-19,106115,105881,106585,105881,460620,0.22
12-04-19,106194,106115,106507,105568,821420,0.07
16-04-19,106428,105646,106741,105646,616970,0.22
17-04-19,105646,106741,107133,105568,1040000,-0.73
18-04-19,105802,105646,106037,105568,721490,0.15
19-04-19,104081,106037,106115,103689,719150,-1.63
22-04-19,101420,102516,103298,101107,1700000,-2.56
23-04-19,99385,100246,101342,99151,1170000,-2.01
24-04-19,101342,100011,101342,99698,578990,1.97
25-04-19,101342,101420,101498,100403,497200,0
26-04-19,101576,101576,101968,101185,678290,0.23
02-05-19,101733,101733,102594,101498,884390,0.15
03-05-19,102516,102516,102516,101655,583670,0.77
06-05-19,101029,101968,101968,100168,442690,-1.45
07-05-19,101342,101655,101733,101107,868160,0.31
08-05-19,100168,100246,101029,100168,754600,-1.16
09-05-19,100324,100559,101029,100168,345220,0.16
10-05-19,101811,100559,101811,100559,440030,1.48
13-05-19,104785,101576,104785,101576,1170000,2.92
14-05-19,106037,103455,106741,103455,1320000,1.19
15-05-19,106115,106037,106741,105176,427020,0.07
16-05-19,106741,105881,106741,105646,842560,0.59
17-05-19,106115,106820,106820,106037,522460,-0.59
20-05-19,107602,105646,107680,105411,541080,1.4
21-05-19,104472,107211,107211,104472,914770,-2.91
22-05-19,103376,104863,105646,103220,743240,-1.05
23-05-19,103376,102672,104081,102672,515150,0
24-05-19,102124,102516,104472,102046,918180,-1.21
27-05-19,104863,102516,104863,101655,384070,2.68
28-05-19,103298,104863,105255,103063,730550,-1.49
29-05-19,104002,103611,104628,103142,326080,0.68
30-05-19,102907,103924,104081,102907,651250,-1.05
31-05-19,101342,102829,103142,101342,853670,-1.52
03-06-19,100168,101342,101811,99464,861590,-1.16
04-06-19,100637,100559,100950,100168,567180,0.47
05-06-19,100954,101825,102300,100558,430540,0.31
06-06-19,100162,100954,101192,99687,658380,-0.78
07-06-19,100241,100004,100875,100004,434440,0.08
10-06-19,100479,100558,101192,99687,673510,0.24
11-06-19,99371,100558,100558,99291,678480,-1.1
12-06-19,99133,99133,99608,99054,839860,-0.24
13-06-19,97549,99133,99133,97233,1350000,-1.6
14-06-19,97945,97391,98341,97312,799060,0.41
17-06-19,97945,97945,98024,97233,759280,0
18-06-19,97391,97391,97945,97391,1250000,-0.57
19-06-19,97708,97391,97945,97391,1120000,0.33
20-06-19,97629,97787,97787,97470,1210000,-0.08
21-06-19,99371,97629,99371,97629,3140000,1.78
24-06-19,97470,99687,99687,97470,738110,-1.91
25-06-19,97708,97470,98341,97470,845870,0.24
26-06-19,97787,97470,98104,97391,597280,0.08
27-06-19,97470,97787,98024,97312,962590,-0.32
28-06-19,97391,97391,97549,96203,1100000,-0.08
01-07-19,98975,97391,99054,97391,1190000,1.63
02-07-19,99054,98975,99846,98658,860170,0.08
03-07-19,99766,99133,100004,98816,789440,0.72
04-07-19,99925,99925,100241,99846,736640,0.16
05-07-19,99925,99925,100241,99529,624350,0
08-07-19,98341,99529,99529,98183,1160000,-1.59
09-07-19,98975,98341,98975,97866,1140000,0.64
10-07-19,98975,98975,99371,98816,505130,0
11-07-19,99133,99371,99371,98975,332640,0.16
12-07-19,98183,99133,99212,98183,444880,-0.96
15-07-19,97549,98104,98183,97549,843980,-0.65
16-07-19,98183,98024,98341,97787,615050,0.65
17-07-19,99291,98183,99687,98104,1160000,1.13
18-07-19,98658,98975,99291,98579,849260,-0.64
19-07-19,100479,98658,100637,98658,1660000,1.85
22-07-19,99371,100162,100162,99371,866380,-1.1
23-07-19,99291,99371,99450,98816,917460,-0.08
24-07-19,99450,99766,100479,99133,712560,0.16
25-07-19,99054,98975,99371,98975,823240,-0.4
26-07-19,98579,99212,99687,98579,631330,-0.48
29-07-19,97787,98262,98500,97391,1320000,-0.8
30-07-19,97787,98975,99450,97787,1110000,0
31-07-19,97549,97787,98183,97312,979380,-0.24
01-08-19,98341,97787,98579,97549,603350,0.81
02-08-19,98183,97787,98341,97629,565810,-0.16
05-08-19,96599,97787,98500,96599,1060000,-1.61
06-08-19,95174,95807,95807,94382,1130000,-1.48
07-08-19,95807,95174,96441,95174,878140,0.67
08-08-19,95728,95807,96283,95174,684770,-0.08
09-08-19,95807,95728,96362,95649,871380,0.08
12-08-19,95491,95807,95807,95332,530800,-0.33
13-08-19,93432,95016,95174,93432,1410000,-2.16
14-08-19,93986,94382,94936,93986,812830,0.59
15-08-19,96599,92878,96599,92878,807740,2.78
16-08-19,98262,95807,99529,95412,1290000,1.72
19-08-19,98895,98579,99133,98500,909850,0.64
20-08-19,98500,98895,98895,98262,944420,-0.4
21-08-19,98104,98183,98420,97787,697030,-0.4
22-08-19,98183,98104,98420,98024,630730,0.08
23-08-19,97391,98262,98341,97391,746200,-0.81
26-08-19,95412,96599,96758,95174,1010000,-2.03
27-08-19,94224,96203,96441,94224,1130000,-1.25
28-08-19,94541,95016,95095,94382,626040,0.34
29-08-19,97391,95016,97391,94857,673840,3.01
30-08-19,97391,97391,98341,97153,956510,0
03-09-19,98183,97391,98420,97391,893810,0.81
04-09-19,98024,98183,98183,97074,486960,-0.16
05-09-19,96599,98341,98341,96599,704620,-1.45
06-09-19,97233,96599,97470,96599,379180,0.66
09-09-19,98579,97391,98579,96995,598620,1.38
10-09-19,97945,98420,98420,97629,777470,-0.64
11-09-19,96678,98024,98183,96678,481690,-1.29
12-09-19,96599,96995,97629,96124,721040,-0.08
13-09-19,96678,96758,96995,96203,604240,0.08
16-09-19,97805,97805,97805,96678,725650,1.17
17-09-19,98610,97805,99013,97161,579080,0.82
18-09-19,99576,98208,99737,97966,1170000,0.98
19-09-19,99496,99415,99737,98610,870840,-0.08
20-09-19,98288,99576,99576,98288,1950000,-1.21
23-09-19,100220,99013,100703,98771,1870000,1.97
24-09-19,102152,100220,102716,100059,1610000,1.93
25-09-19,101750,101669,102152,101025,741160,-0.39
26-09-19,104648,102313,104728,101830,1940000,2.85
27-09-19,104728,104648,105533,104165,1420000,0.08
30-09-19,104406,104728,105211,104165,1060000,-0.31
01-10-19,103038,104245,104406,102796,1450000,-1.31
02-10-19,102233,102635,102877,101589,2480000,-0.78
03-10-19,103843,101428,103843,101025,990370,1.57
04-10-19,103521,103923,105372,103440,769850,-0.31
07-10-19,103923,103360,104648,103199,1000000,0.39
08-10-19,103843,103521,104084,103521,644930,-0.08
09-10-19,102233,103682,103682,102072,795780,-1.55
10-10-19,102233,101991,103440,101991,530580,0
11-10-19,103038,102233,103038,102152,757570,0.79
14-10-19,103521,103843,103843,102957,703250,0.47
15-10-19,103279,103440,104245,102796,1400000,-0.23
16-10-19,104970,103279,105372,103279,1590000,1.64
17-10-19,105453,104970,106580,104809,1690000,0.46
18-10-19,106660,105855,107063,105855,1340000,1.14
21-10-19,107546,106660,109075,106177,2410000,0.83
22-10-19,106660,107868,108190,106499,1680000,-0.82
23-10-19,106499,106660,106821,105614,1020000,-0.15
24-10-19,106741,106419,107385,106419,625070,0.23
25-10-19,108270,106741,108270,106660,979870,1.43
28-10-19,107707,108270,108995,107546,670030,-0.52
29-10-19,107948,107626,108592,107546,624340,0.22
30-10-19,106258,108190,108512,105453,1560000,-1.57
31-10-19,104648,106258,106258,103682,3060000,-1.52
01-11-19,106580,104809,107063,104809,1160000,1.85
04-11-19,105694,107063,107063,105131,1690000,-0.83
05-11-19,104004,105694,105694,104004,2250000,-1.6
06-11-19,104728,103843,105050,103440,1420000,0.7
07-11-19,103923,104245,104487,103601,1040000,-0.77
08-11-19,104004,103923,104889,103762,1430000,0.08
11-11-19,104084,104004,104809,103843,774600,0.08
12-11-19,102635,104084,104084,102474,2320000,-1.39
13-11-19,101025,102635,102635,100945,2350000,-1.57
14-11-19,101347,101428,101750,101106,834560,0.32
15-11-19,99013,101428,101428,96598,2860000,-2.3
18-11-19,97242,99013,99335,96920,2010000,-1.79
19-11-19,100140,96920,100140,96920,1290000,2.98
20-11-19,99818,100220,100462,99254,1380000,-0.32
21-11-19,98208,99415,99657,97966,1670000,-1.61
22-11-19,97805,98530,99174,97644,863620,-0.41
25-11-19,98932,98369,99254,97081,816890,1.15
26-11-19,99013,98932,99818,98771,1170000,0.08
27-11-19,98288,99576,99576,98288,440300,-0.73
28-11-19,98288,98288,98449,96920,1330000,0
29-11-19,97805,98208,98530,97564,659810,-0.49
02-12-19,95229,97805,97805,95229,1790000,-2.63
03-12-19,93700,94827,94827,93458,1710000,-1.61
04-12-19,95632,93700,95632,93700,832440,2.06
05-12-19,94827,96356,96356,94827,832980,-0.84
06-12-19,93619,94907,94907,93619,1120000,-1.27
09-12-19,95068,93619,95149,93619,919260,1.55
10-12-19,95149,95068,95551,94585,1020000,0.09
11-12-19,95471,94746,95471,94424,952730,0.34
12-12-19,95954,95793,96195,95712,841660,0.51
13-12-19,94988,96034,96517,94988,677620,-1.01
16-12-19,95551,95390,95632,94746,901540,0.59
17-12-19,94263,95632,95632,94263,995560,-1.35
18-12-19,95471,94505,95793,94424,1680000,1.28
19-12-19,96356,95471,96598,95471,1900000,0.93
20-12-19,96598,96598,96839,96195,2190000,0.25
23-12-19,94988,96598,96598,94988,943320,-1.67
24-12-19,95471,94988,95632,94988,692400,0.51
25-12-19,94988,96195,96195,94746,649430,-0.51
26-12-19,94988,95637,95800,94988,414180,0
27-12-19,95962,94988,96206,94176,460150,1.03
30-12-19,94582,95637,95800,94582,806570,-1.44
31-12-19,94582,96612,96612,94501,465170,0
02-01-20,95719,94988,95962,94582,423240,1.2
03-01-20,96043,95962,96612,95962,750470,0.34
06-01-20,95313,95800,95962,94826,595090,-0.76
07-01-20,96206,95394,96449,95394,551420,0.94
08-01-20,96449,96206,96449,95394,1010000,0.25
09-01-20,96287,96612,97018,96125,748960,-0.17
10-01-20,96531,96287,96774,96125,715540,0.25
13-01-20,95313,96612,96612,95313,495460,-1.26
14-01-20,95637,95313,95881,95069,402220,0.34
15-01-20,95637,95637,95719,95150,818090,0
16-01-20,95962,95637,96206,95150,654110,0.34
17-01-20,96287,95962,96287,95637,450040,0.34
20-01-20,96612,96612,96774,96125,592320,0.34
21-01-20,98235,96612,98966,96287,1020000,1.68
22-01-20,98479,98235,98966,98235,953330,0.25
30-01-20,94663,96612,97261,94338,1840000,-3.87
31-01-20,88087,94501,94663,88087,2300000,-6.95
03-02-20,87925,82404,89711,81998,2750000,-0.18
04-02-20,85246,89224,89305,84515,2240000,-3.05
05-02-20,86545,86382,87438,83865,1850000,1.52
06-02-20,87275,86057,88168,85976,2560000,0.84
07-02-20,89467,87438,89711,87356,1830000,2.51
10-02-20,88493,88493,88818,87113,1090000,-1.09
11-02-20,87032,88493,88493,86869,1060000,-1.65
