Date,Close,Open,High,Low,Vol.,Change %
15-01-19,22312.9,22052.2,22312.9,22052.2,592.63K,0.71%
16-01-19,22182.6,22417.2,22417.2,22182.6,325.73K,-0.58%
17-01-19,21895.8,22156.5,22286.8,21895.8,662.97K,-1.29%
18-01-19,21895.8,21948,22156.5,21895.8,396.54K,0.00%
21-01-19,22156.5,22000.1,22312.9,22000.1,432.58K,1.19%
22-01-19,22078.3,22156.5,22286.8,22078.3,246.98K,-0.35%
23-01-19,22078.3,22052.2,22104.4,21974,337.72K,0.00%
24-01-19,22130.4,22104.4,22208.6,22078.3,409.31K,0.24%
25-01-19,22104.4,22104.4,22208.6,22052.2,372.65K,-0.12%
28-01-19,21948,22156.5,22156.5,21948,377.65K,-0.71%
29-01-19,22156.5,22104.4,22156.5,21895.8,751.66K,0.95%
30-01-19,22521.4,22156.5,22625.7,22104.4,1.20M,1.65%
31-01-19,22521.4,22573.6,22625.7,22365,902.98K,0.00%
01-02-19,22208.6,22521.4,22521.4,21635.2,1.05M,-1.39%
11-02-19,23016.7,22417.2,23094.9,22260.8,1.75M,3.64%
12-02-19,22886.4,22938.5,23251.3,22886.4,1.22M,-0.57%
13-02-19,23225.2,22938.5,23459.8,22938.5,1.96M,1.48%
14-02-19,23068.8,23277.4,23407.7,23068.8,1.08M,-0.67%
15-02-19,23042.8,23068.8,23173.1,22938.5,1.13M,-0.11%
18-02-19,23147,23199.2,23251.3,22990.6,534.73K,0.45%
19-02-19,23147,23303.4,23538,23094.9,2.57M,0.00%
20-02-19,23381.6,23094.9,23485.9,23094.9,871.86K,1.01%
21-02-19,23355.6,23303.4,23407.7,23094.9,1.31M,-0.11%
22-02-19,23564.1,23355.6,23668.4,23147,2.17M,0.89%
25-02-19,23720.5,23746.6,24085.4,23694.4,1.79M,0.66%
26-02-19,23564.1,23772.6,23772.6,23459.8,1.16M,-0.66%
27-02-19,23512,23564.1,23694.4,23407.7,847.80K,-0.22%
28-02-19,23042.8,23512,23512,23042.8,2.40M,-2.00%
01-03-19,23251.3,23225.2,23251.3,23016.7,1.03M,0.90%
04-03-19,23459.8,23251.3,23564.1,23251.3,1.41M,0.90%
05-03-19,23407.7,23459.8,23564.1,23355.6,1.44M,-0.22%
06-03-19,23251.3,23433.8,23512,23173.1,1.21M,-0.67%
07-03-19,23329.5,23251.3,23459.8,23251.3,653.49K,0.34%
08-03-19,23277.4,23303.4,23355.6,23173.1,1.21M,-0.22%
11-03-19,23199.2,23277.4,23381.6,23173.1,636.34K,-0.34%
12-03-19,24241.8,23329.5,24241.8,23329.5,3.37M,4.49%
13-03-19,24085.4,24241.8,24346.1,24085.4,1.75M,-0.65%
14-03-19,24111.5,24085.4,24241.8,23981.2,931.30K,0.11%
15-03-19,23981.2,24111.5,24137.6,23850.8,1.82M,-0.54%
18-03-19,24085.4,24137.6,24215.8,23955.1,1.74M,0.43%
19-03-19,23824.8,24085.4,24137.6,23824.8,1.60M,-1.08%
20-03-19,23694.4,23772.6,23929,23590.2,1.39M,-0.55%
21-03-19,23512,23876.9,23876.9,23512,1.44M,-0.77%
22-03-19,23485.9,23512,23668.4,23485.9,1.20M,-0.11%
25-03-19,23147,23042.8,23459.8,23042.8,1.11M,-1.44%
26-03-19,23329.5,23459.8,23459.8,23199.2,674.05K,0.79%
27-03-19,23459.8,23355.6,23512,23355.6,1.03M,0.56%
28-03-19,23538,23329.5,23642.3,23329.5,632.57K,0.33%
29-03-19,23720.5,23772.6,23772.6,23616.2,779.89K,0.78%
01-04-19,23876.9,23929,23929,23720.5,571.72K,0.66%
02-04-19,23981.2,23876.9,24346.1,23876.9,2.36M,0.44%
